
2025/01/21 (23:36:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (23:39:41) | ===> btop++ v.1.4.0
2025/01/21 (23:39:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (00:50:47) | ===> btop++ v.1.4.0
2025/01/22 (00:50:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (00:51:11) | ===> btop++ v.1.4.0
2025/01/22 (00:51:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (12:31:39) | ===> btop++ v.1.4.0
2025/01/22 (12:31:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (17:36:37) | ===> btop++ v.1.4.0
2025/01/23 (17:36:37) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/23 (17:36:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/01/23 (17:36:51) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/01/23 (17:40:36) | ===> btop++ v.1.4.0
2025/01/23 (17:40:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (18:14:15) | ===> btop++ v.1.4.0
2025/01/23 (18:14:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:01:39) | ===> btop++ v.1.4.0
2025/01/23 (20:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (20:02:13) | ===> btop++ v.1.4.0
2025/01/23 (20:02:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (19:42:14) | ===> btop++ v.1.4.0
2025/01/29 (19:42:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (19:45:58) | ===> btop++ v.1.4.0
2025/01/29 (19:45:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (21:20:18) | ===> btop++ v.1.4.0
2025/01/29 (21:20:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (22:18:43) | ===> btop++ v.1.4.0
2025/01/29 (22:18:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:20:18) | ===> btop++ v.1.4.0
2025/01/30 (22:20:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (22:26:16) | ===> btop++ v.1.4.0
2025/01/30 (22:26:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:15:49) | ===> btop++ v.1.4.0
2025/02/01 (19:15:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:27:57) | ===> btop++ v.1.4.0
2025/02/01 (19:27:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:28:05) | ===> btop++ v.1.4.0
2025/02/01 (19:28:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:28:17) | ===> btop++ v.1.4.0
2025/02/01 (19:28:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:28:39) | ===> btop++ v.1.4.0
2025/02/01 (19:28:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (19:28:47) | ===> btop++ v.1.4.0
2025/02/01 (19:28:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:24:17) | ===> btop++ v.1.4.0
2025/02/01 (20:24:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (00:23:31) | ===> btop++ v.1.4.0
2025/02/04 (00:23:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (00:27:55) | ===> btop++ v.1.4.0
2025/02/04 (00:27:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:56:50) | ===> btop++ v.1.4.0
2025/02/04 (21:56:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (21:56:58) | ===> btop++ v.1.4.0
2025/02/04 (21:56:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (02:38:06) | ===> btop++ v.1.4.0
2025/02/07 (02:38:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (19:43:43) | ===> btop++ v.1.4.0
2025/02/07 (19:43:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:44:30) | ===> btop++ v.1.4.0
2025/02/08 (20:44:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (20:49:06) | ===> btop++ v.1.4.0
